Participant_id,Duration,Group,Test,Test_Score,is_val
364,511,1.0,TEST_S1_P_1,100.0,0
365,447,1.0,TEST_S1_P_1,50.0,0
367,529,1.0,TEST_S1_P_1,50.0,0
369,863,1.0,TEST_S1_P_1,66.0,0
372,792,1.0,TEST_S1_P_1,75.0,0
378,480,1.0,TEST_S1_P_1,75.0,0
380,775,1.0,TEST_S1_P_1,50.0,0
381,712,1.0,TEST_S1_P_1,80.0,0
382,1007,1.0,TEST_S1_P_1,50.0,0
385,324,1.0,TEST_S1_P_1,50.0,0
388,338,1.0,TEST_S1_P_1,50.0,0
391,1208,1.0,TEST_S1_P_1,50.0,0
395,885,1.0,TEST_S1_P_1,50.0,0
397,577,1.0,TEST_S1_P_1,50.0,0
398,524,1.0,TEST_S1_P_1,100.0,0
399,413,1.0,TEST_S1_P_1,100.0,0
401,735,1.0,TEST_S1_P_1,50.0,0
409,820,1.0,TEST_S1_P_1,50.0,0
412,557,1.0,TEST_S1_P_1,50.0,0
413,505,1.0,TEST_S1_P_1,100.0,0
414,720,1.0,TEST_S1_P_1,55.0,0
419,511,1.0,TEST_S1_P_1,100.0,0
423,467,1.0,TEST_S1_P_1,85.0,0
427,371,1.0,TEST_S1_P_1,50.0,0
430,2051,1.0,TEST_S1_P_1,50.0,0
432,397,1.0,TEST_S1_P_1,50.0,0
436,537,1.0,TEST_S1_P_1,50.0,0
437,488,1.0,TEST_S1_P_1,50.0,0
439,812,1.0,TEST_S1_P_1,100.0,0
450,377,1.0,TEST_S1_P_1,50.0,0
452,600,1.0,TEST_S1_P_1,75.0,0
456,937,1.0,TEST_S1_P_1,50.0,0
471,613,1.0,TEST_S1_P_1,50.0,0
474,845,1.0,TEST_S1_P_1,80.0,0
477,625,1.0,TEST_S1_P_1,49.0,0
478,893,1.0,TEST_S1_P_1,90.0,0
480,559,1.0,TEST_S1_P_1,100.0,0
482,1082,1.0,TEST_S1_P_1,76.0,0
483,866,1.0,TEST_S1_P_1,76.0,0
485,621,1.0,TEST_S1_P_1,50.0,0
490,451,1.0,TEST_S1_P_1,30.0,0
495,652,1.0,TEST_S1_P_1,0.0,0
499,761,1.0,TEST_S1_P_1,60.0,0
500,678,1.0,TEST_S1_P_1,47.0,0
501,814,1.0,TEST_S1_P_1,69.0,0
502,534,1.0,TEST_S1_P_1,50.0,0
503,477,1.0,TEST_S1_P_1,50.0,0
505,539,1.0,TEST_S1_P_1,100.0,0
512,675,1.0,TEST_S1_P_1,75.0,0
514,538,1.0,TEST_S1_P_1,50.0,0
518,480,1.0,TEST_S1_P_1,65.0,0
520,1077,1.0,TEST_S1_P_1,30.0,0
523,577,1.0,TEST_S1_P_1,70.0,0
525,710,1.0,TEST_S1_P_1,100.0,0
527,1054,1.0,TEST_S1_P_1,100.0,0
529,500,1.0,TEST_S1_P_1,100.0,0
531,497,1.0,TEST_S1_P_1,50.0,0
534,463,1.0,TEST_S1_P_1,50.0,0
535,884,1.0,TEST_S1_P_1,64.0,0
539,502,1.0,TEST_S1_P_1,50.0,0
541,1867,1.0,TEST_S1_P_1,40.0,0
543,431,1.0,TEST_S1_P_1,50.0,0
544,1610,1.0,TEST_S1_P_1,100.0,0
546,887,1.0,TEST_S1_P_1,50.0,0
547,948,1.0,TEST_S1_P_1,0.0,0
549,588,1.0,TEST_S1_P_1,100.0,0
552,597,1.0,TEST_S1_P_1,50.0,0
553,1068,1.0,TEST_S1_P_1,31.0,0
555,478,1.0,TEST_S1_P_1,50.0,0
556,375,1.0,TEST_S1_P_1,87.0,0
560,348,1.0,TEST_S1_P_1,61.0,0
561,586,1.0,TEST_S1_P_1,50.0,0
563,1373,1.0,TEST_S1_P_1,60.0,0
565,623,1.0,TEST_S1_P_1,100.0,0
568,372,1.0,TEST_S1_P_1,81.0,0
574,781,1.0,TEST_S1_P_1,100.0,0
578,481,1.0,TEST_S1_P_1,50.0,0
582,400,1.0,TEST_S1_P_1,50.0,0
589,978,1.0,TEST_S1_P_1,100.0,0
592,1477,1.0,TEST_S1_P_1,89.0,0
593,1791,1.0,TEST_S1_P_1,100.0,0
598,448,1.0,TEST_S1_P_1,68.0,0
603,644,1.0,TEST_S1_P_1,50.0,0
604,832,1.0,TEST_S1_P_1,61.0,0
605,1431,1.0,TEST_S1_P_1,50.0,0
613,674,1.0,TEST_S1_P_1,100.0,0
615,445,1.0,TEST_S1_P_1,100.0,0
619,513,1.0,TEST_S1_P_1,50.0,0
622,588,1.0,TEST_S1_P_1,100.0,0
631,739,1.0,TEST_S1_P_1,66.0,0
633,295,1.0,TEST_S1_P_1,75.0,0
638,928,1.0,TEST_S1_P_1,50.0,0
642,541,1.0,TEST_S1_P_1,74.0,0
646,473,1.0,TEST_S1_P_1,0.0,0
667,567,1.0,TEST_S1_P_1,50.0,0
670,353,1.0,TEST_S1_P_1,50.0,0
671,566,1.0,TEST_S1_P_1,80.0,0
674,726,1.0,TEST_S1_P_1,50.0,0
675,395,1.0,TEST_S1_P_1,88.0,0
680,326,1.0,TEST_S1_P_1,50.0,0
684,528,1.0,TEST_S1_P_1,50.0,0
686,387,1.0,TEST_S1_P_1,60.0,0
